Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName,otherGradReq
RN Baccalaureate Completion (BS),FALSE,,FALSE,,TRUE,"['NURS 320W', 'NURS 362', 'NURS 382', 'NURS 402', 'NURS 420', 'NURS 482W', 'NURS 492']",TRUE,['NURS 492'],FALSE,,FALSE,,FALSE,,
Criminal Justice (BS),FALSE,,TRUE,"['CJ 101', 'CJ 255', 'POL 111', 'SOC 101', ['credits_3', 'ELE 222W', 'ETHN 150', 'GWS 225', 'GWS 225W', 'HIST 232', 'HIST 280', 'REHB 110W'],  ['credits_3', 'ANTH 120', 'CSP 110', 'HLTH 210', 'PHIL 110', 'PHIL 115W', 'PHIL 120W', 'PHIL 205W', 'URBS 230', 'URBS 230W'], ['credits_3', 'ANTH 240', 'CDIS 205', 'COMM 203', 'ETHN 100', 'ETHN 101', 'GEOG 103', 'GWS 110', 'GWS 110W', 'HUM 281W', 'PSYC 219', 'SOC 208'], ['credits_3', 'AIS 101', 'AIS 210W', 'AIS 220W', 'ETHN 201W', 'ETHN 203W', 'ETHN 204W', 'GWS 120', 'GWS 120W', 'GWS 222'] , ['credits_6', 'CHEM 134', 'CJ 225', 'COMM 280', 'ETHN 220W', 'GWS 230', 'HIST 250', 'HIST 268', 'HLTH 225', 'PHIL 240W', 'POL 101', 'POL 104', 'PSYC 101', 'PSYC 150', 'SOC 150', 'SOWK 215', 'SOWK 215W', 'URBS 150']]",TRUE,"['CJ 201', 'CJ 231', 'CJ 309', 'CJ 310', 'CJ 321', 'CJ 401', 'CJ 402', ['credits_2', 'CJ 371']]",FALSE,,TRUE,"['CJ 322', 'CJ 323']",TRUE,"[['credits_12', 'CJ 100-499', 'GEOG 352', 'GWS 411', 'PSYC 389', 'SOC 300-499']]",TRUE,['ANY'],
Liberal Arts and Sciences (AA),FALSE,,FALSE,,TRUE,"[['credits_44', 'GEN 100-400']]",FALSE,,FALSE,,TRUE,"['credits_16', 'ANY 100-299']",FALSE,,"[['credits_8', 'LANG 100-499']]"
Recreation and Parks Leadership Studies (BS) Cultural and Natural Resource Management,FALSE,,FALSE,,TRUE,"['RPLS 100', 'RPLS 175', 'RPLS 276', 'RPLS 293', 'RPLS 373', 'RPLS 376', 'RPLS 393W', 'RPLS 483', 'RPLS 493', 'RPLS 495']",FALSE,,TRUE,"['RPLS 325', 'RPLS 350', 'RPLS 450', 'RPLS 460', 'RPLS 475', 'RPLS 476', 'RPLS 478', 'RPLS 479', 'RPLS 481']",FALSE,,FALSE,,
Recreation and Parks Leadership Studies (BS) Recreation Leadership and Management,FALSE,,FALSE,,TRUE,"['RPLS 100', 'RPLS 175', 'RPLS 276', 'RPLS 293', 'RPLS 373', 'RPLS 376', 'RPLS 393W', 'RPLS 483', 'RPLS 493', 'RPLS 495']",FALSE,,TRUE,"['RPLS 325', 'RPLS 341W', 'RPLS 350', 'RPLS 365', 'RPLS 450', 'RPLS 451', 'RPLS 465', 'RPLS 466', 'RPLS 476', 'RPLS 481']",FALSE,,FALSE,,
Business Analytics (CERT),FALSE,,FALSE,,TRUE,"['FINA 375', 'FINA 475']",FALSE,,TRUE,"[['credits_6','FINA 400', 'MGMT 404', 'MRKT 324'],['credits_4','ECON 207', 'STAT 154']]",FALSE,,FALSE,,
Alcohol and Drug Studies (BS),FALSE,,TRUE,"['HLTH 240', 'PSYC 101', 'SOC 101']",TRUE,"['HLTH 225', 'HLTH 370', 'HLTH 372', 'HLTH 373', 'HLTH 374', 'HLTH 406', 'HLTH 407', 'HLTH 408W', 'HLTH 456', 'HLTH 469', 'HLTH 497-take 12']",FALSE,,TRUE,"['CJ 309', 'CSP 470', 'CSP 471', 'CSP 473', 'PSYC 455', 'SOWK 422']",TRUE,"[['credits_0', 'HLTH 101-499']]",TRUE,['ANY'],
Art (BFA),FALSE,,TRUE,"['ART 260', 'ART 261']",TRUE,"['ART 101', 'ART 103', 'ART 110', 'ART 391', 'ART 466']",TRUE,['ART 495'],TRUE,"[[{'rules': [18,3,3,3,3,3], 'area_1': ['ART 202', 'ART 220'], 'area_2': ['ART 210', 'ART 212'], 'area_3': ['ART 231'], 'area_4': ['ART 240', 'ART 245'], 'area_5': ['ART 250', 'ART 251'], 'area_6': ['ART 270', 'ART 271'], 'area_7': ['ART 275'], 'area_8': ['ART 280'], 'area_9': ['ART 285']}], ['credits_6', 'ART 300-399'], ['credits_3' ,'ART 210', 'ART 212', 'ART 310', 'ART 410'], ['credits_6', 'ART 417', 'ART 419', 'ART 460', 'ART 462', 'ART 463', 'ART 464', 'ART 467', 'ART 468', 'ART 469', 'ART 477W'], ['credits_21', 'ART 400-499']]",FALSE,,FALSE,,
Social Studies Teaching (BS) Political Science,FALSE,,TRUE,"['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101', ['credits_3', 'HIST 190', 'HIST 190W'], ['credits_3', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,,TRUE,"[['credits_3','ETHN 410', 'GWS 220', 'GWS 220W'],  ['credits_4','POL 321', 'POL 361', 'POL 420', 'POL 422', 'POL 423', 'POL 424', 'POL 426', 'POL 427', 'POL 460', 'POL 461', 'POL 462', 'POL 463', 'POL 470', 'POL 471', 'POL 473', 'POL 474', 'POL 476'], ['credits_4', 'POL 431', 'POL 433', 'POL 434', 'POL 435', 'POL 436', 'POL 437', 'POL 438', 'POL 439', 'POL 440', 'POL 441', 'POL 442', 'POL 443', 'POL 444', 'POL 445', 'POL 446', 'POL 447', 'POL 448'], ['credits_4', 'POL 311', 'POL 312', 'POL 313', 'POL 410', 'POL 414', 'POL 415', 'POL 450', 'POL 451', 'POL 454', 'POL 455'],  ['credits_3', 'POL 300-499']]",FALSE,,FALSE,,
Social Studies Teaching (BS) Psychology,TRUE,,TRUE,"['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101', ['credits_3', 'HIST 190', 'HIST 190W'], ['credits_3', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,,TRUE,"[['credits_4', 'PSYC 321', 'PSYC 413', 'PSYC 420', 'PSYC 421'],['credits_4','PSYC 325', 'PSYC 414', 'PSYC 415'], ['credits_4','PSYC 343', 'PSYC 433', 'PSYC 436', 'PSYC 466'], ['credits_3','PSYC 340', 'PSYC 401', 'PSYC 455', 'PSYC 460W']]",FALSE,,FALSE,,
Social Studies Teaching (BS) Sociology,TRUE,,TRUE,"['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101', ['credits_3', 'HIST 190', 'HIST 190W'], ['credits_3', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,,TRUE,"[['credits_3','ETHN 410', 'GWS 220', 'GWS 220W'], ['credits_8', 'SOC 360', 'SOC 425', 'SOC 446', 'SOC 460', 'SOC 463', 'SOC 482'], ['credits_8','SOC 241', 'SOC 325', 'SOC 351', 'SOC 402', 'SOC 405', 'SOC 409', 'SOC 483', 'SOC 484']]",FALSE,,FALSE,,
Biology (BS) Organismal Biology and Ecology,FALSE,[],TRUE,"['BIOL 105', 'CHEM 201', ['credits_3', 'MATH 113', 'MATH 115', 'MATH 121']]",TRUE,"['BIOL 106', 'BIOL 211', 'BIOL 300', 'BIOL 489', 'PHYS 211', ['credits_3', 'GEOG 476', 'HLTH 475', 'STAT 154'], 'BIOL 215', 'BIOL 217', 'BIOL 306', ['credits_3', 'BIOL 104', 'BIOL 320', 'BIOL 371', 'BIOL 424', 'BIOL 438', 'BIOL 466', 'BIOL 479', 'CHEM 322', 'GEOL 104'], ['credits_5', 'CHEM 111', 'CHEM 202'], ['credits_4', 'BIOL 402', 'BIOL 404', 'BIOL 406', 'BIOL 409', 'BIOL 412', 'BIOL 432', 'BIOL 440', 'BIOL 442', 'BIOL 443W', 'BIOL 451', 'BIOL 472']]",FALSE,[],TRUE,"[['credits_11', 'BIOL 305', 'BIOL 398', 'BIOL 403', 'BIOL 404', 'BIOL 406', 'BIOL 409', 'BIOL 410', 'BIOL 411', 'BIOL 412', 'BIOL 413', 'BIOL 414', 'BIOL 415', 'BIOL 420', 'BIOL 421', 'BIOL 423', 'BIOL 424', 'BIOL 425', 'BIOL 432', 'BIOL 434', 'BIOL 436', 'BIOL 438', 'BIOL 440', 'BIOL 441', 'BIOL 442', 'BIOL 443W', 'BIOL 446', 'BIOL 451', 'BIOL 472', 'ENVR 440'], [{'rules' : [8,8], 'area_1' : ['BIOL 423', 'BIOL 434'], 'area_2' : ['BIOL 441', 'BIOL 442'], 'area_3' : ['BIOL 476' ['credits_4', 'BIOL 472', 'BIOL 475', 'BIOL 476', 'BIOL 478']]}]]",TRUE,"[['credits_4', 'BIOL 300-499', 'CHEM 324', 'CHEM 325', 'CHEM 360', 'GEOG 373']]",FALSE,,
