Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName,otherGradReq
Computer Information Technology (BS),TRUE,"['CIS 101', 'MATH 130']",TRUE,"['credits_3','COMM 100','COMM 102'],['CIS 121','CIS 122','CIS 223','CIS 224','CIS 340','CIS 350','CIS 360','CIS 380','CIS 440','CIS 497','ENG 271W']",TRUE,"['CIS 121', 'CIS 122', 'CIS 223', 'CIS 224', 'CIS 340', 'CIS 350', 'CIS 360', 'CIS 380', 'CIS 440', 'CIS 497', 'ENG 271W']",FALSE,[ ],TRUE,"['CIS 400', 'CIS 499']",TRUE,['CIS 450'],FALSE,[ ],[ ]
Political Science (BS),FALSE,[ ] ,TRUE,[ ] ,TRUE,"['POL 111', 'POL 221', 'POL 241']",FALSE,[ ],TRUE,"['credits_8','POL 100 - 499']",TRUE,[],FALSE,[ ],[ ]
Interdisciplinary Studies (BS),FALSE,[ ] ,FALSE,[ ],TRUE,"['credits_1','IDST 496']",FALSE,[ ],FALSE,[ ],FALSE,[ ] ,FALSE,[ ],[ ]
Automotive Engineering Technology (BS),TRUE,"['PHYS 211', 'ENG 101']",TRUE,"[['credits_3','COMM 100','COMM 102'], ['CHEM 104','ECON 202','ENG 271W','STAT 154']]",TRUE,"['AET 280', 'AET 334', 'AET 364', 'AET 366', 'AET 387', 'AET 436', 'AET 465', 'AET 468', 'AET 488W', 'AET 489W', 'MATH 122', 'MET 323', 'MET 324', 'MET 341', 'MET 375', 'MET 424', 'MET 425', 'PHYS 212']",FALSE,[ ],FALSE,[ ] ,TRUE,[],FALSE,[ ],[ ]
Social Work (BSSW),FALSE,[ ],TRUE,"[['credits_3','ENG 213W','PHIL 110','PHIL 120W','PHIL 222W','PHIL 240W'],['credits_3','BIOL 100','BIOL 102'],['credits_3','ANTH 230','ANTH 240','ANTH 340','ENG 211W','ETHN 100','ETHN 101','ETHN 150','GEOG 103','HUM 281W','KSP 220W','PHIL 115W','PHIL 205W'],['credits_3','AIS 101','AIS 210W','AIS 230W','AIS 240W','CDIS 290','ETHN 201W','ETHN 203W','ETHN 204W','GWS 110','GWS 110W','GWS 220','GWS 220W','GWS 225','GWS 225W','REHB 110W'],['credits_3','ECON 100']]",TRUE,"['SOWK 212', 'SOWK 215', 'SOWK 310', 'SOWK 316', 'SOWK 410', 'SOWK 435', 'SOWK 441', 'SOWK 443', 'SOWK 446', 'SOWK 450', 'SOWK 455']",TRUE,['SOWK 499'],TRUE,"[ 'SOWK 415', 'SOWK 417', 'SOWK 419', 'SOWK 422', 'SOWK 425', 'SOWK 427', 'SOWK 430', 'SOWK 432']",FALSE,[ ] ,FALSE,[ ],[ ]
Communication and Media (BS),FALSE,[ ],FALSE,[ ],TRUE,"['COMM 300', 'COMM 400', 'COMM 494']",FALSE,[ ],TRUE,"[['credits_8','COMM 200 - 499'], ['credits_20','COMM 300 - 499']]",TRUE,"['credits_3', 'COMM 480']",FALSE,[ ],[ ]
Civil Engineering (BSCE),TRUE,"['CIVE 201', 'MATH 121', 'MATH 122', 'MATH 223', 'MATH 321', 'ME 212', 'ME 214', 'ME 223', 'ME 291', 'PHYS 221']",TRUE,"['ENG 101', 'ENG 271W', 'ECON 201', 'ECON 202', 'CHEM 201', 'CHEM 191', 'GEOL 291']",TRUE,"['CIVE 101', 'CIVE 145', 'CIVE 235', 'CIVE 271', 'CIVE 321', 'CIVE 340', 'CIVE 350', 'CIVE 360', 'CIVE 370W', 'CIVE 380', 'CIVE 401W', 'CIVE 402W', 'CIVE 435', 'CIVE 436', 'GEOL 121', ['credits_3', 'ME 241', 'ME 299'],['credits_3', 'CIVE 446', 'CIVE 448']]",FALSE,[ ],TRUE,"['PHYS 222', 'PHYS 232', 'PHYS 223', 'PHYS 233']",FALSE ,[],FALSE,[ ],[ ]
Information Security (CERT),FALSE,[ ],FALSE,[ ] ,TRUE,"['INFO 101', 'INFO 201']",FALSE,[ ],TRUE,"['INFO 301', 'INFO 401']",TRUE,[],FALSE,[ ],[ ]
Finance (BS) Financial Planning and Insurance,TRUE,"['ACCT 200', 'BUS 295', 'CIS 101']",TRUE,"[['credits_3', 'ECON 201'], ['credits_3', 'MATH 130'], ['credits_3', 'PHIL 120W'], ['credits_3', 'PHIL 205W'], ['credits_3', 'PHIL 222W'], ['credits_3', 'PHIL 224W'], ['credits_3', 'PHIL 226W'], ['credits_3', 'PHIL 240W']]",TRUE,"['FINA 310', 'FINA 410', 'FINA 450']",FALSE,[ ],TRUE,"['FINA 420', 'FINA 470']",TRUE,"['credits_3', 'FINA 480']",FALSE,[ ],[ ]
Finance (BS) General Finance,TRUE,"['ECON 201', 'MATH 130', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']",TRUE,"['ENG 101', 'MATH 130', 'ECON 201']",TRUE,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210']",FALSE,[ ],TRUE,"['FINA 467', 'FINA 480', 'FINA 482', 'FINA 490']",TRUE,"['ACCT 300', 'ACCT 301', 'ACCT 310', 'BUS 397', 'FINA 372', 'FINA 375', 'FINA 461', 'FINA 463', 'FINA 466', 'FINA 470', 'FINA 475', 'FINA 493', 'FINA 498']",FALSE,[ ],[ ]
